batter,season,season_year,runs,balls,fours,sixes,dismissals,strike_rate,average
V Kohli,2009,2009,246,219,22,8,11,112.32876712328768,22.363636363636363
V Kohli,2009/10,2009,307,212,26,12,13,144.81132075471697,23.615384615384617
V Kohli,2011,2011,557,460,55,16,13,121.08695652173913,42.84615384615385
V Kohli,2012,2012,364,326,33,10,12,111.65644171779141,30.333333333333332
V Kohli,2013,2013,639,459,65,22,14,139.2156862745098,45.642857142857146
V Kohli,2014,2014,359,294,23,16,14,122.10884353741496,25.642857142857142
V Kohli,2015,2015,505,386,35,23,14,130.82901554404145,36.07142857142857
V Kohli,2016,2016,973,640,84,38,12,152.03125,81.08333333333333
V Kohli,2017,2017,308,252,23,11,11,122.22222222222223,28.0
V Kohli,2018,2018,530,381,52,18,12,139.1076115485564,44.166666666666664
V Kohli,2019,2019,464,328,46,13,14,141.46341463414635,33.142857142857146
V Kohli,2020/21,2020,471,386,24,11,11,122.02072538860102,42.81818181818182
V Kohli,2021,2021,405,339,43,9,14,119.46902654867257,28.928571428571427
V Kohli,2022,2022,341,294,32,8,16,115.98639455782313,21.3125
V Kohli,2023,2023,639,457,65,16,12,139.8249452954048,53.25
V Kohli,2024,2024,741,479,62,38,13,154.6972860125261,57.0
V Kohli,2025,2025,657,454,66,19,13,144.7136563876652,50.53846153846154
V Kohli,2026,2026,379,229,42,15,7,165.50218340611355,54.142857142857146
V Nigam,2025,2025,142,79,16,8,4,179.74683544303798,35.5
V Nigam,2026,2026,12,7,2,0,1,171.42857142857142,12.0
V Pratap Singh,2012,2012,0,1,0,0,1,0.0,0.0
V Sehwag,2007/08,2007,406,220,46,21,12,184.54545454545453,33.833333333333336
V Sehwag,2009,2009,198,138,24,7,10,143.47826086956522,19.8
V Sehwag,2009/10,2009,356,218,47,14,14,163.30275229357798,25.428571428571427
V Sehwag,2011,2011,424,240,51,18,9,176.66666666666666,47.111111111111114
V Sehwag,2012,2012,495,307,57,19,16,161.23778501628664,30.9375
V Sehwag,2013,2013,295,233,41,6,12,126.60944206008584,24.583333333333332
V Sehwag,2014,2014,455,315,56,18,18,144.44444444444443,25.27777777777778
V Sehwag,2015,2015,99,84,12,3,7,117.85714285714286,14.142857142857142
V Shankar,2017,2017,101,75,12,1,2,134.66666666666666,50.5
V Shankar,2018,2018,212,148,11,11,4,143.24324324324326,53.0
V Shankar,2019,2019,244,193,11,12,11,126.42487046632125,22.181818181818183
V Shankar,2020/21,2020,97,96,10,1,4,101.04166666666667,24.25
V Shankar,2021,2021,58,52,1,3,5,111.53846153846155,11.6
V Shankar,2022,2022,19,35,1,0,4,54.285714285714285,4.75
V Shankar,2023,2023,301,188,27,15,8,160.1063829787234,37.625
V Shankar,2024,2024,83,72,7,2,5,115.27777777777777,16.6
